"iso","adm1","adm2","umd_tree_cover_gain__ha","umd_tree_cover_extent_2000__ha"
"ARG",14,1,3998.01319826210511709,104277.68211380270389179
"ARG",14,2,3514.68122770475402169,155269.07744192383631973
"ARG",14,3,5208.74767345698579178,90463.02637205117510118
"ARG",14,4,9221.33468067811853529,97781.03486170843420859
"ARG",14,5,5832.2117524589026417,77541.7520603231141403
"ARG",14,6,7327.62261418766007651,187595.02982054731476014
"ARG",14,7,4082.95401764200070997,343424.60784609929880151
"ARG",14,8,6423.49052827186960470,328563.50534699314533013
"ARG",14,9,8779.36496122573630354,268535.76884578186250278
"ARG",14,10,3122.7480235288096832,106808.7705456263815832
"ARG",14,11,10981.18064386159655468,142525.28485835089430609
"ARG",14,12,5968.34882971411465915,173676.09380341527052559
"ARG",14,13,4370.70293384110826449,157929.78130715740597306
"ARG",14,14,8562.06066996498808390,165574.65353759394543700
"ARG",14,15,2701.89696068089217654,67892.12295698711785287
"ARG",14,16,3694.91786893067200171,362376.60729218591957776
"ARG",14,17,4951.12901303303345588,167762.50737862850111704
