"iso","adm1","adm2","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"ARG",14,9,2001,4215.33400880583842021,2223823.289150917712106
"ARG",14,9,2002,4992.68998267014109211,2690300.108675328861512
"ARG",14,9,2003,4821.07796693876194000,2723756.99197424472756
"ARG",14,9,2004,7138.10026952025925446,4162526.69994623073230
"ARG",14,9,2005,6847.40791333196170957,3942010.019048173397968
"ARG",14,9,2006,7676.42662211038980771,4522897.353279743629409
"ARG",14,9,2007,4894.17521825015117228,2898635.507807508985444
"ARG",14,9,2008,3402.56007897721952932,2130081.684978690760460
"ARG",14,9,2009,2932.89984072126073993,1873901.587558842622154
"ARG",14,9,2010,6269.22014254657277488,4141758.791468035093196
"ARG",14,9,2011,4005.44098598010494880,2310944.243986928527172
"ARG",14,9,2012,3288.92087376711065968,1680720.172906619774897
"ARG",14,9,2013,3280.02609981304937752,2177888.774632143214501
"ARG",14,9,2014,2865.57916385812079519,2303329.131267910509855
"ARG",14,9,2015,1701.74867480811795951,1207197.141294124726787
"ARG",14,9,2016,2194.10077085304691145,1534204.355743616484149
"ARG",14,9,2017,2248.41290344124722311,1435270.898267814342096
"ARG",14,9,2018,1296.11775362490633344,829354.521593862355986
"ARG",14,9,2019,1781.50161036272351342,1275713.670272808974931
"ARG",14,9,2020,2328.97910236429429040,1712925.258743759427494
"ARG",14,9,2021,1447.29780269821574220,1030957.821621945977196
"ARG",14,9,2022,1924.84753456457228723,1197546.299752738078240
"ARG",14,9,2023,882.25027346946830599,626890.338286069751544
