"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"ARG",14,2001,18266.67222375571965375,8051900.477267976456679
"ARG",14,2002,17650.47691668099006828,8073364.382468293885538
"ARG",14,2003,22703.62722305224034417,10563649.308192787090463
"ARG",14,2004,28918.45578611419881492,13879881.945223557455965
"ARG",14,2005,31673.99093641997698479,15416311.049401309185686
"ARG",14,2006,34285.82976640860458864,16933332.471045283179329
"ARG",14,2007,29295.10024979522751215,14835659.548530425932469
"ARG",14,2008,35041.65820301415037060,17825772.912114478416529
"ARG",14,2009,19883.21170913133010690,10421577.739036954081616
"ARG",14,2010,23990.75865120095710735,13501105.831236734294898
"ARG",14,2011,22515.30217465240395969,11719708.050778744045163
"ARG",14,2012,28275.55190775448521959,13621089.732018756340325
"ARG",14,2013,21536.31265253935750407,11765199.815794106080073
"ARG",14,2014,20447.11929135876983667,11128658.091634513500795
"ARG",14,2015,13729.16125367189812005,7477970.1937652086069288
"ARG",14,2016,26710.76710161353780389,13257417.360131919498255
"ARG",14,2017,38414.74919787339326337,17904756.376685572540511
"ARG",14,2018,22262.72461620363826280,11090144.599471792431675
"ARG",14,2019,23373.10640070296408493,11627849.942730379412975
"ARG",14,2020,26750.69324134736150820,13220966.920240258342766
"ARG",14,2021,27161.95848174835771984,14129715.422143439327711
"ARG",14,2022,28742.85775256382765486,14360092.969187102678770
"ARG",14,2023,16737.50776898624224220,9470316.617058078647593
