"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","umd_tree_cover_loss_from_fires__ha"
"ARG",14,2001,18266.67222375571965375,431.28805535679794869
"ARG",14,2002,17650.47691668099006828,642.56380059675895432
"ARG",14,2003,22703.62722305224034417,912.60932496072044029
"ARG",14,2004,28918.45578611419881492,1427.11576683026232569
"ARG",14,2005,31673.99093641997698479,1256.45032371053056610
"ARG",14,2006,34285.82976640860458864,1311.28158624433038232
"ARG",14,2007,29295.10024979522751215,820.30343767907878003
"ARG",14,2008,35041.65820301415037060,1535.03003774791444092
"ARG",14,2009,19883.21170913133010690,1035.98143834342241635
"ARG",14,2010,23990.75865120095710735,724.39012099522006623
"ARG",14,2011,22515.30217465240395969,679.86084286770829024
"ARG",14,2012,28275.55190775448521959,1680.81210881231244906
"ARG",14,2013,21536.31265253935750407,786.11068171515307271
"ARG",14,2014,20447.11929135876983667,976.45737535065206971
"ARG",14,2015,13729.16125367189812005,487.28902034999030183
"ARG",14,2016,26710.76710161353780389,1666.77218590080956537
"ARG",14,2017,38414.74919787339326337,6224.48664510787983518
"ARG",14,2018,22262.72461620363826280,1540.50357634981041176
"ARG",14,2019,23373.10640070296408493,2025.51076937085170695
"ARG",14,2020,26750.69324134736150820,4923.09667096966386361
"ARG",14,2021,27161.95848174835771984,2861.32705487521427396
"ARG",14,2022,28742.85775256382765486,5694.14388827841673467
"ARG",14,2023,16737.50776898624224220,1041.39812547996114906
