system:index,año,ganancia,pérdida,.geo
0,2001.0,27191.86051186686,33723.680145483515,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2002.0,24753.514765016298,24650.177786921122,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2003.0,26445.102060437297,33970.45158172507,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2004.0,36033.72960231254,39878.16541992669,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2005.0,28781.09183644397,38474.190605992335,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2006.0,40859.178952017224,31361.666249030302,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2007.0,23021.217193159257,33877.43868929987,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2008.0,26460.279193789134,50471.122783975974,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2009.0,27675.424361951358,31651.19118201859,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2010.0,36809.046944774534,36832.77590761844,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2011.0,36302.53137652224,38212.916397337,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2012.0,28287.70178198931,45773.04671851213,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2013.0,49175.32367991218,35030.944499892,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2014.0,27190.421673244746,35366.26607681923,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2015.0,33405.830240174924,27316.023691565657,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2016.0,23016.119484477924,28097.750409968336,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2017.0,24752.15300690133,27862.267738869486,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2018.0,29165.95429497353,26756.142160531173,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2019.0,33822.82470521583,27798.70269543517,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2020.0,38760.059333758,15410.71718902138,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2021.0,60102.52879864682,21208.027680528856,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2022.0,17742.263824528283,27997.93597908675,"{""type"":""MultiPoint"",""coordinates"":[]}"
