year;natural woody;natural non-woody;agricultural;forest plantations;bush cultivation;no vegetation;water;not observed
1999;1807125;161250;945163;200314;649661;38057;39085;13
2000;1788910;153653;972117;199732;689680;36847;39153;13
2001;1782376;150935;980559;202633;696257;37710;39100;13
2002;1782479;141778;993737;203607;710634;33630;39057;13
2003;1774954;138261;1006856;208430;714368;31519;39090;13
2004;1771109;131987;1016407;212428;718807;32168;39010;13
2005;1761418;125416;1031568;216802;725989;33278;39001;13
2006;1770923;123238;1020115;222755;706163;37427;38979;13
2007;1760068;121377;1033104;230040;714626;36955;39177;13
2008;1736061;115429;1067656;241600;740970;31986;39548;13
2009;1732086;106264;1080123;249518;750242;32354;39853;13
2010;1732064;101364;1082262;267418;729831;31848;43142;13
2011;1730156;99420;1084259;287813;716162;31775;45071;13
2012;1712673;101552;1100082;302433;714981;30736;45637;13
2013;1726821;103910;1080518;312019;675966;34122;45309;13
2014;1718648;100530;1092089;324209;676492;34060;45354;13
2015;1724740;98797;1087032;330068;661297;34632;45479;13
2016;1719664;97274;1093245;331654;662030;35214;45284;13
2017;1716556;95427;1096925;333590;659179;36496;45277;13
2018;1718964;112074;1077752;337811;626368;36756;45134;13
2019;1724989;114714;1067864;332212;607731;37977;45137;13
2020;1748339;116101;1039297;316382;593020;41992;44951;13
2021;1787234;117710;989924;300396;538479;51161;44651;13
2022;1776976;111432;1008007;303118;554193;50059;44207;13
